,gene_names
NAC001,NAC001
ARV1,ARV1
AT1G03987,AT1G03987
NGA3,NGA3
DCL1,DCL1
AT1G03993,AT1G03993
MIR838A,MIR838A
PPA1,PPA1
AT1G03997,AT1G03997
LHY,LHY
AT1G01070,AT1G01070
AT1G04003,AT1G04003
AT1G01080,AT1G01080
PDH-E1 ALPHA,PDH-E1 ALPHA
RPP1A,RPP1A
IQD18,IQD18
KCS1,KCS1
AT1G01130,AT1G01130
CIPK9,CIPK9
AT1G01150,AT1G01150
GIF2,GIF2
AT1G04007,AT1G04007
AT1G01170,AT1G01170
AT1G04013,AT1G04013
AT1G01180,AT1G01180
MIR165A,MIR165A
CYP78A8,CYP78A8
RABA3,RABA3
AT1G01210,AT1G01210
AT1G04017,AT1G04017
FKGP,FKGP
AT1G04023,AT1G04023
AT1G01225,AT1G01225
AT1G01230,AT1G01230
AT1G01240,AT1G01240
ERF023,ERF023
BHLH13,BHLH13
AT1G01270,AT1G01270
CYP703A2,CYP703A2
CNX3,CNX3
APF2,APF2
AT1G01305,AT1G01305
AT1G01310,AT1G01310
AT1G01320,AT1G01320
AREP1,AREP1
CNGC10,CNGC10
AT1G01350,AT1G01350
AT1G01355,AT1G01355
PYL9,PYL9
HTR12,HTR12
ETC1,ETC1
AT1G01390,AT1G01390
AT1G01400,AT1G01400
APUM22,APUM22
UGT72B3,UGT72B3
TBL25,TBL25
AT1G01440,AT1G01440
AT1G01448,AT1G01448
AT1G01450,AT1G01450
AT1G01453,AT1G01453
PIP5K10,PIP5K10
LEA14,LEA14
ACS2,ACS2
AT1G01490,AT1G01490
AT1G01500,AT1G01500
AN,AN
AT1G01520,AT1G01520
AGL28,AGL28
AT1G01540,AT1G01540
BPS1,BPS1
MPK11,MPK11
AT1G01570,AT1G01570
FRO2,FRO2
FRO1,FRO1
CYP86A4,CYP86A4
GPAT4,GPAT4
PIP1-3,PIP1-3
AT1G01630,AT1G01630
AT1G01640,AT1G01640
SPPL4,SPPL4
AT1G04027,AT1G04027
AT1G01660,AT1G01660
PUB56,PUB56
PUB54,PUB54
ATPRD3,ATPRD3
AT1G01695,AT1G01695
AT1G04033,AT1G04033
AT1G04037,AT1G04037
ATROPGEF2,ATROPGEF2
AT1G01710,AT1G01710
AT1G01715,AT1G01715
AT1G04043,AT1G04043
NAC002,NAC002
AT1G01725,AT1G01725
AT1G04047,AT1G04047
AT1G01730,AT1G01730
BSK4,BSK4
ADF11,ADF11
AT1G04053,AT1G04053
AT1G01760,AT1G01760
AT1G04057,AT1G04057
AT1G01770,AT1G01770
PLIM2B,PLIM2B
KEA1,KEA1
AT1G04063,AT1G04063
AT1G01800,AT1G01800
AT1G01810,AT1G01810
PEX11C,PEX11C
AT1G01830,AT1G01830
AT1G04067,AT1G04067
AT1G01840,AT1G01840
PFC1,PFC1
AT1G04073,AT1G04073
AT1G01870,AT1G01870
GEN1,GEN1
SBTI1.1,SBTI1.1
AT1G04077,AT1G04077
AT1G01910,AT1G01910
AT1G04083,AT1G04083
AT1G01920,AT1G01920
AT1G01930,AT1G01930
CYP18-1,CYP18-1
ARK2,ARK2
BIG3,BIG3
AT1G01970,AT1G01970
SEC1A,SEC1A
AT1G01990,AT1G01990
GAE2,GAE2
SEC1A.1,SEC1A.1
AT1G02020,AT1G02020
ZAT1,ZAT1
AT1G02040,AT1G02040
PKSA,PKSA
AT1G02060,AT1G02060
SPL8,SPL8
AT1G02067,AT1G02067
AT1G02070,AT1G02070
AT1G02080,AT1G02080
CSN7,CSN7
LCMT1,LCMT1
AT1G02110,AT1G02110
VAD1,VAD1
RABD2A,RABD2A
AT1G04087,AT1G04087
MEE63,MEE63
ALG12,ALG12
AT1G02150,AT1G02150
AT1G02160,AT1G02160
AMC1,AMC1
AT1G02180,AT1G02180
AT1G02190,AT1G02190
CER1,CER1
AT1G04093,AT1G04093
NAC003,NAC003
NAC004,NAC004
NAC005,NAC005
AT1G02260,AT1G02260
AT1G02270,AT1G02270
TOC33,TOC33
AT1G02290,AT1G02290
CATHB1,CATHB1
CATHB2,CATHB2
AT1G04097,AT1G04097
MAN1,MAN1
AT1G04103,AT1G04103
AT1G02320,AT1G02320
CSU2,CSU2
GL22,GL22
HFR1,HFR1
AT1G02350,AT1G02350
AT1G02360,AT1G02360
AT1G02370,AT1G02370
AT1G02380,AT1G02380
GPAT2,GPAT2
GA2OX6,GA2OX6
AT1G02405,AT1G02405
COX11,COX11
AT1G02420,AT1G02420
AT1G04117,AT1G04117
ATARFD1B,ATARFD1B
AT1G04123,AT1G04123
ATARFD1A,ATARFD1A
NIMIN-1,NIMIN-1
AT1G02460,AT1G02460
AT1G02470,AT1G02470
AT1G02475,AT1G02475
AT1G02490,AT1G02490
SAM1,SAM1
TPK4,TPK4
ABCB11,ABCB11
ABCB12,ABCB12
AT1G02540,AT1G02540
AT1G02550,AT1G02550
CLPP5,CLPP5
AT1G02570,AT1G02570
AT1G02575,AT1G02575
MEA,MEA
AT1G04127,AT1G04127
AT1G02590,AT1G02590
AT1G02600,AT1G02600
AT1G02610,AT1G02610
AT1G02620,AT1G02620
AT1G04133,AT1G04133
AT1G04137,AT1G04137
ETN8,ETN8
BXL2,BXL2
AT1G02650,AT1G02650
PLIP2,PLIP2
AT1G02670,AT1G02670
TAF13,TAF13
IMPA-6,IMPA-6
AT1G02700,AT1G02700
AT1G02705,AT1G02705
AT1G02710,AT1G02710
GATL5,GATL5
CSLD5,CSLD5
MRG2,MRG2
DI19-2,DI19-2
AT1G02760,AT1G02760
AT1G02770,AT1G02770
RPL19A,RPL19A
PGA3,PGA3
CEL2,CEL2
PME7,PME7
AT1G02816,AT1G02816
LEA2,LEA2
RPL22A,RPL22A
SR34,SR34
BGLU11,BGLU11
BAH1,BAH1
AT1G04147,AT1G04147
AT1G02870,AT1G02870
AT1G04153,AT1G04153
TPK1,TPK1
AT1G02890,AT1G02890
RALF1,RALF1
LPA1,LPA1
GSTF7,GSTF7
GSTF6,GSTF6
ATGSTF5,ATGSTF5
ATGSTF4,ATGSTF4
AT1G02952,AT1G02952
AT1G02960,AT1G02960
AT1G02965,AT1G02965
WEE1,WEE1
CUL2,CUL2
AT1G02990,AT1G02990
PEX6,PEX6
AT1G03010,AT1G03010
GRXS1,GRXS1
AT1G03030,AT1G03030
AT1G03040,AT1G03040
AT1G03050,AT1G03050
D27,D27
SPI,SPI
LFG4,LFG4
NET1D,NET1D
MCCA,MCCA
AT1G04157,AT1G04157
AT1G03100,AT1G03100
AT1G04163,AT1G04163
AT1G03103,AT1G03103
AT1G03106,AT1G03106
TRM82,TRM82
ATRAB28,ATRAB28
PSAD2,PSAD2
AT1G03140,AT1G03140
NAA20,NAA20
AT1G04167,AT1G04167
FZL,FZL
AT1G03165,AT1G03165
AT1G04173,AT1G04173
FAF2,FAF2
AT1G03180,AT1G03180
XPD,XPD
AT1G04177,AT1G04177
AT1G03200,AT1G03200
AT1G03210,AT1G03210
AT1G03220,AT1G03220
AT1G03230,AT1G03230
AT1G03240,AT1G03240
AT1G03250,AT1G03250
AT1G03260,AT1G03260
CBSDUF4,CBSDUF4
AT1G03280,AT1G03280
AT1G03290,AT1G03290
DUF1,DUF1
ISA2,ISA2
AT1G03320,AT1G03320
AT1G03325,AT1G03325
LSM2,LSM2
AT1G03340,AT1G03340
AT1G03350,AT1G03350
RRP4,RRP4
RF4,RF4
AT1G03370,AT1G03370
ATG18G,ATG18G
AT1G03390,AT1G03390
AT1G03395,AT1G03395
AT1G03400,AT1G03400
2A6,2A6
AT1G04183,AT1G04183
AHP5,AHP5
AT1G03440,AT1G03440
BSU1,BSU1
AT1G03457,AT1G03457
NET3A,NET3A
CPX1,CPX1
NAC006,NAC006
AT1G03495,AT1G03495
AT1G04187,AT1G04187
AT1G04193,AT1G04193
AT1G03502,AT1G03502
AT1G03506,AT1G03506
AT1G04197,AT1G04197
PCMP-E3,PCMP-E3
AT1G03515,AT1G03515
AT1G03520,AT1G03520
ATNAF1,ATNAF1
PCMP-E4,PCMP-E4
SCAMP2,SCAMP2
AT1G03545,AT1G03545
AT1G03560,AT1G03560
AT1G03570,AT1G03570
PPC6-6,PPC6-6
PSB27-1,PSB27-1
AT1G03610,AT1G03610
AT1G03620,AT1G03620
PORC,PORC
AT1G03650,AT1G03650
AT1G03660,AT1G03660
AT1G04203,AT1G04203
AT1G03670,AT1G03670
ATHM1,ATHM1
AT1G03687,AT1G03687
AT1G03700,AT1G03700
AT1G03710,AT1G03710
AT1G03720,AT1G03720
AT1G03730,AT1G03730
AT1G03740,AT1G03740
AT1G04213,AT1G04213
AT1G03743,AT1G03743
AT1G03746,AT1G03746
SWI2,SWI2
AT1G03760,AT1G03760
RING1B,RING1B
TPX2,TPX2
SOM,SOM
ERF10,ERF10
AT1G03810,AT1G03810
AT1G03820,AT1G03820
AT1G03830,AT1G03830
MGP,MGP
AT1G03850,AT1G03850
PHB2,PHB2
FLA9,FLA9
CRB,CRB
CRD,CRD
ATNAP4,ATNAP4
ABCI19,ABCI19
CTN,CTN
AT1G03920,AT1G03920
CKL9,CKL9
AT1G04217,AT1G04217
AT1G03935,AT1G03935
AT1G04223,AT1G04223
3AT1,3AT1
AT1G04227,AT1G04227
VPS2.3,VPS2.3
B''EPSILON,B''EPSILON
GBF4,GBF4
AT1G04233,AT1G04233
ATPCS2,ATPCS2
RIC8,RIC8
FAO1,FAO1
AT1G04000,AT1G04000
PSAT,PSAT
ATBARD1,ATBARD1
AT1G04030,AT1G04030
AT1G04040,AT1G04040
AT1G04237,AT1G04237
SUVR1,SUVR1
TOM9-1,TOM9-1
PRP39,PRP39
AT1G04090,AT1G04090
IAA10,IAA10
AT1G04105,AT1G04105
SBT1.2,SBT1.2
ABCC5,ABCC5
TPR2,TPR2
AT1G04140,AT1G04140
AT1G04150,AT1G04150
XI-B,XI-B
EIF2 GAMMA,EIF2 GAMMA
YUC9,YUC9
TPR3,TPR3
AT1G04200,AT1G04200
AT1G04210,AT1G04210
KCS2,KCS2
AT1G04247,AT1G04247
AT1G04230,AT1G04230
SHY2,SHY2
AT1G04253,AT1G04253
IAA17,IAA17
PRA1D,PRA1D
RPS15A,RPS15A
AT1G04280,AT1G04280
AT1G04290,AT1G04290
